key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_001,呼，雖然基地已經完成了，<hex:02100103>但是大家依然都很忙啊……<hex:02100103>不知道什麼時候才能來取呢？
1,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_005,已經獲得了「完成100次月球探索任務」的探索成果，<hex:02100103>可以從姆姆珂那裡領取新的支線任務了。
2,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_002,<hex:022903EB0203>，你好啊。<hex:02100103>如果你什麼時候方便幫忙了，可以來找我一下嗎？
3,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_003,宇宙探索計劃才剛剛起步。<hex:02100103>希望今後你們也可以提供自己的一份力量，<hex:02100103>共同推進計劃的實施。
4,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_004,<hex:022903EB0203>，感謝你的幫助！<hex:02100103>之後等你方便了，可以再來找我嗎？
5,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_006,方便的話，可以再找其他人談談嗎？<hex:02100103>甚至有些人還有著自己的煩惱，<hex:02100103>你如果願意聆聽一下的話就幫大忙了！
6,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_007,<hex:022903EB0203>，你在雅·阿德布議員的視察工作中幫了很大的忙！<hex:02100103>今後的探索計劃也可以請你繼續提供幫助嗎？
7,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_008,已經獲得了「完成50次法恩娜行星探索任務」的探索成果，<hex:02100103>可以從姆姆珂那裡領取新的支線任務了。
8,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_010,哎，明明月球上還有很多工作等著我去做呢……<hex:02100103>不知道誰有時間能幫個忙呢？
9,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_009,想要從法恩娜行星的姆姆珂那裡領取新的支線任務，<hex:02100103>需要先完成憧憬灣的2個支線任務。
10,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_011,<hex:022903EB0203>，在這邊過得還開心嗎？<hex:02100103>如果你方便幫忙了的話，記得再來找我啊！
11,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_012,感謝你幫忙帶著雅·阿德布議員參觀！<hex:02100103>如果你準備好了的話，可以和我談談嗎？
12,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_013,基地裡有些人可能還抱有煩惱。<hex:02100103>請你多多幫助那些在幕後協助計劃的人們，拜託了！
13,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_014,這次你也為基地做了很多貢獻呢！<hex:02100103>感謝你一直以來對探索計劃的支持，辛苦了！
14,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_020,哎呀，很高興看到你，<hex:022903EB0203>！<hex:02100103>雖然你應該挺忙的，但我這邊也有事要麻煩你。
15,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_015,已經獲得了「完成50次俄匊斯行星探索任務」的探索成果，<hex:02100103>可以從姆姆珂那裡領取新的支線任務了。
16,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_016,法恩娜行星還有些工作需要收尾，<hex:02100103>可我沒辦法兩頭兼顧……<hex:02100103>不知道誰有時間能幫個忙呢？
17,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_017,想要從俄匊斯行星的姆姆珂那裡領取新的支線任務，<hex:02100103>需要先完成法恩娜行星的4個支線任務。
18,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_018,<hex:022903EB0203>，最近過得怎麼樣？<hex:02100103>如果你有空來幫忙了，就跟我打聲招呼！
19,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_019,多謝你幫忙收集大家的意見！<hex:02100103>基地的人們怎麼說？
20,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_030,<hex:022903EB0203>，你好呀！<hex:02100103>等你不忙了的時候，可以和我打聲招呼嗎？
21,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_021,<hex:022903EB0203>，你還忙嗎？<hex:02100103>等你手頭不那麼忙了，<hex:02100103>再來和我打聲招呼吧！
22,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_022,<hex:022903EB0203>，你還忙嗎？<hex:02100103>等你手頭不那麼忙了，<hex:02100103>再來和我打聲招呼吧！
23,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_024,<hex:022903EB0203>，你還忙嗎？<hex:02100103>等你手頭不那麼忙了，<hex:02100103>再來和我打聲招呼吧！
24,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_025,多虧了<hex:022903EB0203>有時間幫忙，<hex:02100103>我們的工作進展得特別順利！<hex:02100103>有你這樣的好幫手，是我這個項目經理的幸事！
25,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_026,<hex:022903EB0203>，你最近還在忙嗎？<hex:02100103>看你還是騰不出手呢，<hex:02100103>但要是你願意，還請再來幫幫我呀！
26,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_027,已經獲得了「完成50次奧克塞西亞探索任務」的探索成果，<hex:02100103>可以從姆姆珂那裡領取新的支線任務了。
27,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_028,哎真是的……俄匊斯行星還有沒完成的任務……<hex:02100103>雖然也可以讓熟練工回去做，但是誰有這樣的時間呢……
28,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_029,想要從奧克塞西亞行星的姆姆珂那裡領取新的支線任務，<hex:02100103>需要先完成俄匊斯行星的3個支線任務。
29,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_023,（★未使用／削除予定★）
