key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGZE021_05139_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>梅瓦黑地帶的嚴肅的赫扎·阿羅族似乎有東西想要送給妹妹。
1,TEXT_KINGZE021_05139_SEQ_01,
2,TEXT_KINGZE021_05139_SEQ_02,
3,TEXT_KINGZE021_05139_SEQ_03,
4,TEXT_KINGZE021_05139_SEQ_04,
5,TEXT_KINGZE021_05139_SEQ_05,
6,TEXT_KINGZE021_05139_SEQ_06,
7,TEXT_KINGZE021_05139_SEQ_07,
8,TEXT_KINGZE021_05139_SEQ_08,
9,TEXT_KINGZE021_05139_SEQ_09,
10,TEXT_KINGZE021_05139_SEQ_10,
11,TEXT_KINGZE021_05139_SEQ_11,
12,TEXT_KINGZE021_05139_SEQ_12,
13,TEXT_KINGZE021_05139_SEQ_13,
14,TEXT_KINGZE021_05139_SEQ_14,
15,TEXT_KINGZE021_05139_SEQ_15,
16,TEXT_KINGZE021_05139_SEQ_16,
17,TEXT_KINGZE021_05139_SEQ_17,
18,TEXT_KINGZE021_05139_SEQ_18,
19,TEXT_KINGZE021_05139_SEQ_19,
20,TEXT_KINGZE021_05139_SEQ_20,
21,TEXT_KINGZE021_05139_SEQ_21,
22,TEXT_KINGZE021_05139_SEQ_22,
23,TEXT_KINGZE021_05139_SEQ_23,
24,TEXT_KINGZE021_05139_TODO_00,將<hex:022811FF0A>EventItem<hex:F61E92880103>交給活潑的赫扎·阿羅族
25,TEXT_KINGZE021_05139_TODO_01,獲得<hex:022811FF0A>EventItem<hex:F61E92890103>
26,TEXT_KINGZE021_05139_TODO_02,將<hex:022811FF0A>EventItem<hex:F61E92890103>交給嚴肅的赫扎·阿羅族
27,TEXT_KINGZE021_05139_TODO_03,
28,TEXT_KINGZE021_05139_TODO_04,
29,TEXT_KINGZE021_05139_TODO_05,
30,TEXT_KINGZE021_05139_TODO_06,
31,TEXT_KINGZE021_05139_TODO_07,
32,TEXT_KINGZE021_05139_TODO_08,
33,TEXT_KINGZE021_05139_TODO_09,
34,TEXT_KINGZE021_05139_TODO_10,
35,TEXT_KINGZE021_05139_TODO_11,
36,TEXT_KINGZE021_05139_TODO_12,
37,TEXT_KINGZE021_05139_TODO_13,
38,TEXT_KINGZE021_05139_TODO_14,
39,TEXT_KINGZE021_05139_TODO_15,
40,TEXT_KINGZE021_05139_TODO_16,
41,TEXT_KINGZE021_05139_TODO_17,
42,TEXT_KINGZE021_05139_TODO_18,
43,TEXT_KINGZE021_05139_TODO_19,
44,TEXT_KINGZE021_05139_TODO_20,
45,TEXT_KINGZE021_05139_TODO_21,
46,TEXT_KINGZE021_05139_TODO_22,
47,TEXT_KINGZE021_05139_TODO_23,
48,TEXT_KINGZE021_05139_STRICT05139_000_000,旅行者，如果你有事要去胡薩泰宿場町的話，能順便幫我一個忙嗎？
49,TEXT_KINGZE021_05139_STRICT05139_000_001,我希望你能把這個「<hex:022811FF0A>EventItem<hex:F61E92880103>」送給住在宿場町的我的妹妹。
50,TEXT_KINGZE021_05139_STRICT05139_000_002,和我髮色相同的「活潑的赫扎·阿羅族」就是我的妹妹。<hex:02100103>她應該在負責管理的那塊田地裡，去那邊看看吧。
51,TEXT_KINGZE021_05139_STRICT05139_000_010,請把「<hex:022811FF0A>EventItem<hex:F61E92880103>」送給在胡薩泰宿場町的妹妹。<hex:02100103>和我髮色相同的「活潑的赫扎·阿羅族」就是我的妹妹。
52,TEXT_KINGZE021_05139_LIVELY05139_000_020,哦哦，有什麼事嗎？
53,TEXT_KINGZE021_05139_LIVELY05139_000_021,這個角飾是她的……。<hex:02100103>我早有準備，但她已經回歸風中……。
54,TEXT_KINGZE021_05139_LIVELY05139_000_022,謝謝你送來的東西，旅行者！<hex:02100103>雖然有點折騰，但我還有東西想請你帶給她。
55,TEXT_KINGZE021_05139_LIVELY05139_000_023,能不能去那邊收穫「<hex:022811FF0A>EventItem<hex:F61E92890103>」，然後把它交給<hex:02100103>姐姐呢。
56,TEXT_KINGZE021_05139_LIVELY05139_000_024,我希望能收穫，但還有其他工作。<hex:02100103>順便說一下，最近會去你那邊看看，<hex:02100103>請代我轉達！
57,TEXT_KINGZE021_05139_STRICT05139_000_030,你把它送給妹妹了嗎？
58,TEXT_KINGZE021_05139_STRICT05139_000_040,特意回來一趟嗎，旅人？<hex:02100103>……哦，是妹妹托你帶來的事嗎？
59,TEXT_KINGZE021_05139_STRICT05139_000_041,……新鮮得非常美味的蔬菜。<hex:02100103>妹妹似乎在努力工作。
60,TEXT_KINGZE021_05139_STRICT05139_000_042,……送來的角飾是<hex:02100103>前幾天因衰老去世的羅內克的角加工而成的。<hex:02100103>他是和我們姐妹一起生活的「海佐」。
61,TEXT_KINGZE021_05139_STRICT05139_000_043,我們的心始終通過他這個海佐相互依偎。<hex:02100103>無論是活著的現在，還是去世後的未來……。
62,TEXT_KINGZE021_05139_STRICT05139_000_044,他的角飾就是證明這一點。<hex:02100103>所以，我拿了一根，另外一根送給了妹妹。<hex:02100103>這一定意味著什麼。
63,TEXT_KINGZE021_05139_STRICT05139_000_045,如果我屬於海扎·阿羅族，<hex:02100103>那遠離生活的妹妹也是海扎·阿羅族。
64,TEXT_KINGZE021_05139_STRICT05139_000_046,那麼，根據旅人告訴我的消息，<hex:02100103>妹妹最近會過來。<hex:02100103>好久不見了，得準備些美味的食物。
65,TEXT_KINGZE021_05139_STRICT05139_000_047,我對聽取我們姐妹請求的旅人感激不已。<hex:02100103>請接受我的謝禮。
66,TEXT_KINGZE021_05139_LIVELY05139_000_031,
